[2026-06-29 16:04:34] === 1/3 Google Places photos ===
Google enriching 5459 places (photos=True)
  10/5459 — matched 0, updated 0, photos 0
  20/5459 — matched 2, updated 2, photos 0
  30/5459 — matched 3, updated 3, photos 0
  40/5459 — matched 5, updated 5, photos 0
  50/5459 — matched 7, updated 7, photos 0
  60/5459 — matched 7, updated 7, photos 0
  70/5459 — matched 7, updated 7, photos 0
  80/5459 — matched 10, updated 10, photos 0
  90/5459 — matched 11, updated 11, photos 0
  100/5459 — matched 11, updated 11, photos 0
  110/5459 — matched 13, updated 13, photos 1
  120/5459 — matched 15, updated 15, photos 3
  130/5459 — matched 16, updated 16, photos 3
  140/5459 — matched 17, updated 17, photos 3
  150/5459 — matched 18, updated 18, photos 3
  160/5459 — matched 20, updated 20, photos 3
  170/5459 — matched 20, updated 20, photos 3
  180/5459 — matched 20, updated 20, photos 3
  190/5459 — matched 21, updated 21, photos 3
  200/5459 — matched 23, updated 23, photos 3
  210/5459 — matched 24, updated 24, photos 3
  220/5459 — matched 24, updated 24, photos 3
  230/5459 — matched 25, updated 25, photos 3
  240/5459 — matched 27, updated 27, photos 3
  250/5459 — matched 28, updated 28, photos 3
  260/5459 — matched 30, updated 30, photos 3
  270/5459 — matched 31, updated 31, photos 3
  280/5459 — matched 32, updated 32, photos 3
  290/5459 — matched 33, updated 33, photos 4
  300/5459 — matched 35, updated 35, photos 4
  310/5459 — matched 36, updated 36, photos 5
  320/5459 — matched 36, updated 36, photos 5
  330/5459 — matched 37, updated 37, photos 5
  340/5459 — matched 44, updated 44, photos 11
  350/5459 — matched 49, updated 49, photos 16
  360/5459 — matched 56, updated 56, photos 23
  370/5459 — matched 64, updated 64, photos 31
  380/5459 — matched 72, updated 72, photos 39
  390/5459 — matched 77, updated 77, photos 42
  400/5459 — matched 81, updated 81, photos 46
  410/5459 — matched 84, updated 84, photos 49
  420/5459 — matched 89, updated 89, photos 54
  430/5459 — matched 95, updated 95, photos 59
  440/5459 — matched 102, updated 102, photos 66
  450/5459 — matched 107, updated 107, photos 71
  460/5459 — matched 113, updated 113, photos 77
  470/5459 — matched 118, updated 118, photos 82
  480/5459 — matched 123, updated 123, photos 86
  490/5459 — matched 127, updated 127, photos 89
  500/5459 — matched 135, updated 135, photos 97
  510/5459 — matched 140, updated 140, photos 102
  520/5459 — matched 144, updated 144, photos 106
  530/5459 — matched 150, updated 150, photos 112
  540/5459 — matched 155, updated 155, photos 117
  550/5459 — matched 160, updated 160, photos 122
  560/5459 — matched 164, updated 164, photos 126
  570/5459 — matched 170, updated 170, photos 132
  580/5459 — matched 175, updated 175, photos 137
  590/5459 — matched 182, updated 182, photos 144
  600/5459 — matched 186, updated 186, photos 147
  610/5459 — matched 190, updated 190, photos 151
  620/5459 — matched 197, updated 197, photos 158
  630/5459 — matched 205, updated 205, photos 166
  640/5459 — matched 211, updated 211, photos 172
  650/5459 — matched 216, updated 216, photos 177
  660/5459 — matched 222, updated 222, photos 183
  670/5459 — matched 228, updated 228, photos 188
  680/5459 — matched 229, updated 229, photos 189
  690/5459 — matched 235, updated 235, photos 193
  700/5459 — matched 236, updated 236, photos 194
  710/5459 — matched 238, updated 238, photos 196
  720/5459 — matched 241, updated 241, photos 199
  730/5459 — matched 246, updated 246, photos 203
  740/5459 — matched 253, updated 253, photos 208
  750/5459 — matched 256, updated 256, photos 211
  760/5459 — matched 261, updated 261, photos 215
  770/5459 — matched 264, updated 264, photos 218
  780/5459 — matched 271, updated 271, photos 224
  790/5459 — matched 273, updated 273, photos 226
  800/5459 — matched 275, updated 275, photos 226
  810/5459 — matched 276, updated 276, photos 227
  820/5459 — matched 280, updated 280, photos 231
  830/5459 — matched 284, updated 284, photos 235
  840/5459 — matched 289, updated 289, photos 239
  850/5459 — matched 296, updated 296, photos 245
  860/5459 — matched 302, updated 302, photos 250
  870/5459 — matched 304, updated 304, photos 250
  880/5459 — matched 310, updated 310, photos 255
  890/5459 — matched 312, updated 312, photos 257
  900/5459 — matched 315, updated 315, photos 260
  910/5459 — matched 317, updated 317, photos 262
  920/5459 — matched 324, updated 324, photos 267
  930/5459 — matched 325, updated 325, photos 268
  940/5459 — matched 326, updated 326, photos 269
  950/5459 — matched 328, updated 328, photos 271
  960/5459 — matched 330, updated 330, photos 272
  970/5459 — matched 333, updated 333, photos 275
  980/5459 — matched 337, updated 337, photos 279
  990/5459 — matched 339, updated 339, photos 281
  1000/5459 — matched 345, updated 345, photos 287
  1010/5459 — matched 346, updated 346, photos 288
  1020/5459 — matched 348, updated 348, photos 290
  1030/5459 — matched 351, updated 351, photos 292
  1040/5459 — matched 356, updated 356, photos 296
  1050/5459 — matched 362, updated 362, photos 300
  1060/5459 — matched 368, updated 368, photos 305
  1070/5459 — matched 370, updated 370, photos 306
  1080/5459 — matched 372, updated 372, photos 308
  1090/5459 — matched 374, updated 374, photos 310
  1100/5459 — matched 377, updated 377, photos 313
  1110/5459 — matched 378, updated 378, photos 314
  1120/5459 — matched 381, updated 381, photos 316
  1130/5459 — matched 385, updated 385, photos 319
  1140/5459 — matched 386, updated 386, photos 320
  1150/5459 — matched 391, updated 391, photos 325
  1160/5459 — matched 394, updated 394, photos 328
  1170/5459 — matched 399, updated 399, photos 333
  1180/5459 — matched 404, updated 404, photos 338
  1190/5459 — matched 408, updated 408, photos 341
  1200/5459 — matched 412, updated 412, photos 344
  1210/5459 — matched 417, updated 417, photos 348
  1220/5459 — matched 421, updated 421, photos 350
  1230/5459 — matched 426, updated 426, photos 355
  1240/5459 — matched 430, updated 430, photos 359
  1250/5459 — matched 434, updated 434, photos 361
  1260/5459 — matched 441, updated 441, photos 368
  1270/5459 — matched 450, updated 450, photos 377
  1280/5459 — matched 453, updated 453, photos 378
  1290/5459 — matched 460, updated 460, photos 384
