id,name,folder,flag_count,flags,website,coord_precision
5fa08c1f5ad9,782 Dojo,BuddhaNet (Argentina),4,"missing_phone,missing_description,missing_photo,missing_hours",http://www.circuloaikikai.com/,address
74d8d0aa0ad0,96th Street Sangha,BuddhaNet (United States of America),4,"missing_website,missing_description,missing_photo,missing_hours",,unknown
3000f618a279,A Compassionate Mind Sangha,BuddhaNet (United States of America),4,"missing_website,missing_description,missing_photo,missing_hours",,unknown
3d523604b3bc,A.B.E.N Dorje Nyingpo - Paris,BuddhaNet (France),5,"missing_website,stacked_coords,missing_description,missing_photo,missing_hours",,unknown
0baa095fca1f,A.Z.I. Association Zen Internationale - Les Montils,BuddhaNet (France),6,"missing_website,stacked_coords,encoding_error,missing_description,missing_photo,missing_hours",,unknown
530cba917fe1,Aanand Buddha Vihar,BuddhaNet (India),4,"missing_website,missing_description,missing_photo,missing_hours",,unknown
c038c9edfda4,Aberystwyth Buddhist Group,BuddhaNet (United Kingdom),4,"missing_website,missing_description,missing_photo,missing_hours",,unknown
7937cfc792bc,Abhayagiri Buddhist Monastery,"Thai, Burmese, Lao, Cambodian, and Sri Lankan Temple",1,missing_description,https://www.abhayagiri.org/,address
184e2b51ae8d,Abhayagiri Sangha Foundation,BuddhaNet (Sri Lanka),5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,unknown
a77ea25e301f,Aburkhil Janakalyan Samiti-Bangladesh,BuddhaNet (Bangladesh),6,"missing_phone,missing_website,stacked_coords,missing_description,missing_photo,missing_hours",,unknown
f1b507d1401a,Achtsamkeit im Alltag (Haus Avalokita) Brande,BuddhaNet (Germany),5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,address
4d46dc3c5607,Adelaide Zen Group,BuddhaNet (Australia),3,"missing_phone,missing_description,missing_photo",http://www.azg.org.au/,address
578dadddeeb3,Adhar Manik Kalayan Vihar,BuddhaNet (Bangladesh),5,"missing_website,stacked_coords,missing_description,missing_photo,missing_hours",,unknown
7dfecd6c1792,Agrasara Memorial Society of Bangladesh,BuddhaNet (Bangladesh),5,"missing_website,stacked_coords,missing_description,missing_photo,missing_hours",,unknown
868af10554b7,Akademie fÃ¼r Buddhistische Grundlagenforschung (AFBGF) - NeckargemÃ¼nd,BuddhaNet (Germany),7,"missing_phone,missing_website,stacked_coords,encoding_error,missing_description,missing_photo,missing_hours",,unknown
7e11a4f24654,"Akhil Bhartiya Boudha Maha Sangha, Mumbai",BuddhaNet (India),4,"missing_website,missing_description,missing_photo,missing_hours",,unknown
5373f64e7b5d,Akil Bhartiya Bhikshu Maha Sangha (Great Unity of Indian Monks),BuddhaNet (India),5,"missing_website,stacked_coords,missing_description,missing_photo,missing_hours",,unknown
32c1adfea7a8,Akshi Yogashala,Wolf K Asia Retreats (India),1,unverified_description,https://www.akshiyogashala.org/,address
d543ca60aafc,Alabama Buddhist Meditation (Vihara),BuddhaNet (United States of America),1,missing_description,https://www.alvihara.com/,address
7153ec2900c5,Alabama Buddhist Vihara meditation center,"Thai, Burmese, Lao, Cambodian, and Sri Lankan Temple",1,missing_description,https://www.alvihara.com/,address
e4e96517d5ee,Albuquerque Karma Thegsum Choling,Tibetan,1,missing_description,http://www.abqktc.org/,address
54e272e28de2,Albuquerque Zen Center,"Zen, Chan, Son, & Thien,",2,"missing_description,missing_photo",https://azc.org/,address
a9afeb87b704,Alipore Ashoke Club(Buddhaviher),BuddhaNet (India),2,"missing_website,missing_description",,address
44cc26fc4ea8,Aliswar Buddhist Youth Development Organization and Aliswar Santiniketan Buddhist Monastery,BuddhaNet (Bangladesh),5,"missing_website,stacked_coords,missing_description,missing_photo,missing_hours",,unknown
6ca6cc9d41b4,All Assam Buddhist Association,BuddhaNet (India),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/(President)Balijan,unknown
3d96fce15cf2,All Buddhist Congress,BuddhaNet (India),5,"missing_phone,bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Sakthi,unknown
42b121ea7abb,All Colombia Courses,Goenka Vipassana (dhamma.org),5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,unknown
f3e5b8584f05,All India Youth Monk Association,BuddhaNet (India),3,"missing_description,missing_photo,missing_hours",https://double-dolphin.blogspot.com/2016/05/choong-ye-thong-church-chinese-temple-calcutta-kolkata.html,unknown
a971e097ac9c,All Mexico Courses,Goenka Vipassana (dhamma.org),5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,unknown
a90448294a24,Alliston Shambhala Meditation Group,BuddhaNet (Canada),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/92,unknown
030c0abf73bc,Altbuddhistische Gemeinde e.V. - Utting,BuddhaNet (Germany),5,"bad_website,encoding_error,missing_description,missing_photo,missing_hours",http://mapof.it/86919,unknown
6d9b15c798f3,Amar Bodhi Buddha Vihara,BuddhaNet (India),5,"bad_website,stacked_coords,missing_description,missing_photo,missing_hours",http://mapof.it/Gharshala,unknown
82d6a6829829,Amazenji,BuddhaNet (Canada),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/RR2,unknown
b4aeb38bf09c,American Buddhist Association & Harmony Zen Center,BuddhaNet (United States of America),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/4524,unknown
30c9bf44935c,American Buddhist Confederation & Eastern Buddhist Association,BuddhaNet (United States of America),2,"missing_description,missing_hours",https://stbarbaragoc.com/,address
02a65bd64493,American Buddhist Fellowship - Mei Fo Temple (美佛寺),BuddhaNet (United States of America),2,"missing_description,missing_hours",http://www.meifotemple.org/,address
3a87c2bf4fb1,American Buddhist Meditation temple,"Thai, Burmese, Lao, Cambodian, and Sri Lankan Temple",1,missing_description,http://www.abuddhisttemple.org/,address
2fbb33cbafc1,American Young Buddhist Association,BuddhaNet (United States of America),5,"missing_phone,bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/3456,unknown
c735a55d695a,Amida Society,BuddhaNet (United States of America),1,missing_description,http://www.amtb-la.org/,address
904d4eb06bf7,Amitabha Buddhist Society,"Pure Land, Soka Gakkai, Jodo Shin",3,"missing_description,missing_photo,missing_hours",https://amitabha-ny.org/,address
